Banner,UPC,Northern California,New York,Kansas,Texas
Wegmans,278739906,,0.99,,0.99
Trader Joes,278739906,1.09,0.99,,0.89
Whole Foods,283434497,34.49,,,
Wegmans,283434497,,,26.99,27.19
Walmart,283434497,,26.12,25.14,
Safeway,283434497,,,27.79,28.09
Trader Joes,283434497,30.99,27.49,,26.69
Trader Joes,284293391,,,,52.09
Walmart,284293391,,50.9,,49.42
Safeway,284293391,,,54.29,54.79
Whole Foods,284293391,,59.79,1.99,57.99
Wegmans,284293391,,54.79,,53.19
Wegmans,285189163,,19.49,,18.99
Whole Foods,285189163,,,1.99,
Trader Joes,285189163,,,,18.59
Walmart,285189163,,18.2,17.46,17.63
Safeway,285189163,22.69,,19.29,
Wegmans,285195716,,41.69,,40.49
Whole Foods,285195716,51.29,45.49,1.99,
Trader Joes,285195716,46.09,,,39.69
Safeway,285195716,,,41.29,
Walmart,285195716,43.72,,,37.63
Wegmans,285638116,,1.89,,1.89
Whole Foods,285638116,2.39,2.09,1.99,
Walmart,285638116,2.0,1.83,,1.8
Trader Joes,285638116,,,,1.79
Walmart,286798599,,33.85,,32.81
Wegmans,286798599,,36.39,,35.29
Whole Foods,286798599,44.69,39.69,1.99,
Trader Joes,286798599,40.19,,34.29,34.59
Safeway,286798599,42.29,,35.99,36.39
Whole Foods,286906735,,12.09,1.99,
Walmart,286906735,,10.42,10.02,10.13
Trader Joes,286906735,12.29,10.89,10.49,10.59
Safeway,286906735,16.89,,10.99,11.09
Wegmans,286906735,,11.09,10.69,10.79
Trader Joes,287415946,54.19,,,46.69
Wegmans,287415946,,49.09,,47.69
Whole Foods,287415946,,53.49,1.99,
Walmart,287415946,,,43.86,44.32
Safeway,287415946,,,48.59,49.09
Whole Foods,291765113,,39.39,1.99,
Wegmans,291765113,,36.09,,34.99
Safeway,291765113,,,35.69,36.09
Trader Joes,291765113,39.79,,33.99,34.29
Walmart,291765113,37.8,,,
Walmart,292740862,41.45,36.84,35.32,35.74
Trader Joes,292740862,,,37.19,37.59
Safeway,292740862,,,39.09,
Wegmans,292740862,,39.49,37.99,38.39
Whole Foods,292740862,,43.09,1.99,41.89
Trader Joes,295208432,62.89,55.79,53.59,54.19
Safeway,295208432,,,56.39,56.99
Wegmans,295208432,,56.99,54.79,55.29
Walmart,295208432,59.7,53.03,50.9,51.4
Whole Foods,295208432,70.09,62.19,1.99,60.29
Walmart,296821950,,6.37,,6.15
Wegmans,296821950,,6.69,,6.49
Safeway,296821950,,,6.69,6.69
Whole Foods,296821950,8.29,7.29,1.99,
Trader Joes,296821950,,6.59,,
Wegmans,296847415,,8.09,7.79,7.89
Safeway,296847415,9.39,,,8.09
Whole Foods,296847415,,8.89,,
Trader Joes,296847415,,,7.69,7.69
Walmart,296847415,,,7.32,
Walmart,298558534,,42.06,,
Trader Joes,298558534,49.89,,42.49,42.99
Safeway,298558534,,,44.69,
Wegmans,298558534,,45.19,,43.79
Whole Foods,298558534,55.49,49.29,1.99,
Wegmans,298650567,,53.19,,51.59
Trader Joes,298650567,58.69,,,50.59
Walmart,298650567,55.77,49.45,47.54,
Whole Foods,298650567,65.39,57.99,1.99,56.29
Trader Joes,299791600,35.79,31.79,30.49,30.79
Safeway,299791600,37.59,,,
Wegmans,299791600,,32.39,,31.49
Whole Foods,299791600,39.89,35.39,1.99,34.29
Walmart,299791600,34.0,30.14,29.07,
Safeway,299905463,,,51.59,
Wegmans,299905463,,52.09,,50.59
Whole Foods,299905463,,56.89,1.99,
Walmart,299905463,,,46.67,
Trader Joes,299905463,57.59,,,49.59
Wegmans,300702726,,52.89,50.79,51.29
Trader Joes,300702726,,,49.79,50.29
Whole Foods,300702726,64.99,57.69,1.99,
Walmart,300702726,55.46,49.27,47.26,47.75
Safeway,300702726,,,52.39,52.89
Wegmans,300705072,,,,49.39
Walmart,300705072,,47.31,45.51,45.92
Safeway,300705072,59.09,,50.39,50.89
Trader Joes,300705072,,,,48.39
Whole Foods,300705072,62.59,55.59,1.99,53.89
Wegmans,300970093,,30.39,29.19,29.49
Safeway,300970093,35.29,,30.09,30.39
Whole Foods,300970093,37.39,33.19,1.99,
Walmart,300970093,31.93,28.35,27.21,27.45
Trader Joes,300970093,,,28.59,28.89
Safeway,301161010,42.19,,35.99,36.39
Wegmans,301161010,,36.39,,35.29
Walmart,301161010,38.17,33.82,32.54,42.79
Whole Foods,301161010,44.69,39.69,1.99,
Trader Joes,301161010,,,34.29,34.59
Wegmans,302256456,,2.49,2.39,2.49
Whole Foods,302256456,3.09,2.69,1.99,2.69
Walmart,302256456,,2.42,2.36,2.33
Trader Joes,302256456,,,,2.39
Safeway,302256456,,,2.49,2.49
Whole Foods,302857528,72.89,,1.99,62.79
Safeway,302857528,,,,59.29
Wegmans,302857528,,59.29,,57.49
Trader Joes,302857528,,58.09,,56.39
Walmart,302857528,,55.11,52.97,
Safeway,303530277,,,47.49,47.99
Whole Foods,303530277,58.99,52.29,1.99,50.79
Wegmans,303530277,,47.99,,46.49
Walmart,303530277,50.26,44.63,,43.37
Trader Joes,303530277,52.99,46.99,45.09,45.59
Trader Joes,303748850,,37.79,,36.69
Wegmans,303748850,,38.59,,37.39
Whole Foods,303748850,,,1.99,
Safeway,303748850,44.79,,38.19,38.59
Walmart,303748850,40.42,35.8,34.46,34.82
Wegmans,303796970,,16.29,15.69,15.89
Walmart,303796970,,15.22,14.64,
Trader Joes,303796970,,15.99,,15.49
Whole Foods,303796970,,17.79,1.99,17.29
Safeway,303796970,18.99,,,16.29
Walmart,304468559,,49.07,47.14,
Wegmans,304468559,,52.69,,51.19
Safeway,304468559,61.19,,52.19,52.69
Whole Foods,304468559,64.79,57.49,1.99,
Trader Joes,304468559,58.19,51.59,49.59,50.09
Trader Joes,305207870,59.69,52.99,,51.39
Safeway,305207870,,,53.49,54.09
Walmart,305207870,56.62,50.25,,48.87
Whole Foods,305207870,66.49,58.99,1.99,
Wegmans,305207870,,54.09,51.89,52.49
Trader Joes,305310988,60.39,,,
Whole Foods,305310988,,59.59,1.99,
Wegmans,305310988,,54.69,,53.09
Safeway,305310988,,,54.09,54.69
Walmart,305310988,,50.86,48.82,
Whole Foods,306137567,,28.29,1.99,27.49
Wegmans,306137567,,25.99,24.99,25.19
Safeway,306137567,30.19,,25.69,25.99
Walmart,306137567,,,23.27,23.45
Whole Foods,306887951,,16.79,1.99,16.29
Trader Joes,306887951,,15.09,,
Walmart,306887951,16.23,14.3,13.83,
Wegmans,306887951,,15.39,14.79,14.99
Safeway,306887951,17.89,,15.29,15.39
Wegmans,308185637,,18.99,,18.49
Walmart,308185637,,17.73,17.0,17.26
Safeway,308185637,22.09,,18.79,
Trader Joes,308185637,,18.69,,18.09
Safeway,310069491,,,4.29,4.39
Walmart,310069491,,4.11,3.97,
Whole Foods,310069491,,4.79,1.99,4.59
Wegmans,310069491,,4.39,4.19,4.29
Trader Joes,310069491,,4.29,,4.19
Trader Joes,310210791,43.39,,,37.39
Whole Foods,310210791,48.29,42.89,,41.59
Safeway,310210791,,,38.89,39.29
Walmart,310210791,41.21,,35.12,35.55
Wegmans,310210791,,39.29,,38.19
Wegmans,311149036,,49.99,48.09,48.59
Trader Joes,311149036,,,,47.59
Whole Foods,311149036,61.49,,1.99,
Safeway,311149036,,,49.49,49.99
Walmart,311149036,52.41,46.53,44.72,
Safeway,311226396,,,41.49,41.89
Wegmans,311226396,,41.89,40.19,40.59
Trader Joes,311226396,46.19,,,39.79
Whole Foods,311226396,,45.69,1.99,
Walmart,311226396,,38.96,37.46,
Trader Joes,311513952,46.19,,,39.79
Wegmans,311513952,,41.89,,40.59
Safeway,311513952,48.59,,41.39,41.89
Whole Foods,311513952,51.49,45.69,1.99,
Walmart,311513952,43.81,38.95,37.44,37.85
Wegmans,311625369,,6.49,,6.29
Trader Joes,311625369,,,,6.19
Safeway,311625369,,,6.39,6.49
Whole Foods,311625369,7.99,7.09,1.99,6.89
Walmart,311625369,6.82,6.05,,
Walmart,311693284,,23.3,22.44,22.67
Whole Foods,311693284,,27.39,1.99,
Trader Joes,311693284,27.69,,23.59,23.89
Safeway,311693284,,,,25.09
Wegmans,311693284,,25.09,,24.39
Walmart,312567137,,18.16,17.45,
Safeway,312567137,,,19.29,
Trader Joes,312567137,,,,18.49
Whole Foods,312567137,23.99,21.29,1.99,20.59
Wegmans,312567137,,19.49,,18.89
Wegmans,312588009,,40.59,,39.39
Walmart,312588009,,37.73,,36.63
Trader Joes,312588009,44.79,,,38.59
Safeway,312588009,47.09,,40.19,40.59
Whole Foods,312588009,,44.29,1.99,42.99
Safeway,312735668,,,20.29,20.49
Trader Joes,312735668,,,19.29,19.49
Walmart,312735668,,19.12,,
Whole Foods,312735668,,22.39,1.99,21.69
Wegmans,312735668,,20.49,19.69,19.89
Wegmans,314205929,,39.49,37.89,38.29
Safeway,314205929,45.79,,39.09,
Trader Joes,314205929,43.59,,,37.59
Walmart,314205929,41.42,36.77,35.32,
Whole Foods,314205929,,43.09,,41.79
Walmart,314756902,34.55,,,29.74
Wegmans,314756902,,32.99,,31.99
Trader Joes,314756902,,32.29,,31.29
Whole Foods,314756902,,,1.99,
Safeway,314756902,,,32.59,32.99
Whole Foods,315128578,,29.19,1.99,
Trader Joes,315128578,,,25.19,
Wegmans,315128578,,26.79,,25.99
Safeway,315128578,,,,26.79
Walmart,315128578,,24.95,23.96,24.22
Safeway,319176479,,,54.69,55.19
Whole Foods,319176479,,60.19,1.99,58.49
Walmart,319176479,,51.34,,
Wegmans,319176479,,55.19,53.09,
Trader Joes,319176479,,54.09,,52.49
Walmart,321012038,,34.86,33.56,33.81
Safeway,321012038,43.49,,37.09,37.49
Wegmans,321012038,,37.49,,36.39
Trader Joes,321012038,,,,35.69
Whole Foods,321012038,46.09,40.89,1.99,
Walmart,321130189,42.83,37.94,,36.83
Trader Joes,321130189,45.09,,,38.79
Whole Foods,321130189,,44.49,1.99,
Wegmans,321130189,,40.79,,39.59
Safeway,321130189,47.39,,,40.79
Walmart,323385020,48.01,42.66,40.94,
Trader Joes,323385020,,,43.19,43.59
Safeway,323385020,,,,45.79
Wegmans,323385020,,45.79,44.09,44.49
Whole Foods,323385020,,49.99,,
Safeway,325260449,,,14.39,
Trader Joes,325260449,16.09,14.29,13.69,13.79
Walmart,325260449,,,13.03,
Whole Foods,325260449,17.89,15.89,1.99,
Wegmans,325260449,,14.59,,14.09
Wegmans,325836526,,46.09,44.29,44.69
Safeway,325836526,53.49,,45.59,46.09
Whole Foods,325836526,,50.29,1.99,48.79
Walmart,325836526,,42.87,,
Trader Joes,325836526,50.89,,,43.79
Safeway,325885139,,,,31.79
Walmart,325885139,33.32,,,28.77
Trader Joes,325885139,35.09,31.09,,30.19
Wegmans,325885139,,31.79,,30.89
Whole Foods,325885139,,34.69,1.99,33.69
Trader Joes,327470693,33.39,,,28.79
Whole Foods,327470693,37.19,32.99,,32.09
Wegmans,327470693,,30.29,,29.39
Safeway,327470693,,,29.99,30.29
Walmart,327470693,,28.17,27.01,27.35
Trader Joes,327660050,34.49,,,29.69
Walmart,327660050,32.7,29.15,,28.21
Wegmans,327660050,,31.29,,30.29
Safeway,327660050,36.29,,30.89,31.29
Whole Foods,327660050,,34.09,1.99,
Walmart,332493471,31.62,28.16,27.07,
Whole Foods,332493471,,32.89,1.99,
Trader Joes,332493471,33.39,,,28.69
Safeway,332493471,,,29.89,30.19
Wegmans,332996724,,41.69,,40.49
Whole Foods,332996724,,,1.99,
Trader Joes,332996724,46.09,40.89,,39.69
Walmart,332996724,,38.83,37.23,37.63
Trader Joes,333664376,37.49,33.29,31.99,32.29
Wegmans,333664376,,33.99,,32.99
Walmart,333664376,35.67,31.65,,30.64
Safeway,333664376,,,33.59,33.99
Whole Foods,333664376,,36.99,1.99,
Safeway,333868779,,,16.29,16.49
Whole Foods,333868779,,17.99,1.99,17.49
Wegmans,333868779,,16.49,,15.99
Trader Joes,333868779,,16.19,15.49,
Walmart,333868779,,,,14.96
Safeway,333967502,27.79,,23.69,23.99
Wegmans,333967502,,23.99,22.99,23.29
Walmart,333967502,25.1,22.34,,
Whole Foods,333967502,29.49,26.19,,25.39
Trader Joes,333967502,,,22.59,22.79
Whole Foods,336912254,,27.39,1.99,26.59
Wegmans,336912254,,25.09,,24.39
Trader Joes,336912254,,,23.59,23.89
Safeway,336912254,,,,25.09
Walmart,336912254,,23.36,,
Wegmans,337353166,,48.69,46.79,47.29
Whole Foods,337353166,59.89,53.09,,51.59
Trader Joes,337353166,53.79,,,46.29
Walmart,337353166,,45.36,43.53,43.9
Safeway,337353166,,,48.19,48.69
Trader Joes,338728090,16.69,14.89,14.29,14.39
Walmart,338728090,,14.11,,13.76
Wegmans,338728090,,15.19,14.59,14.69
Safeway,338728090,,,14.99,15.19
Whole Foods,338728090,18.59,16.49,1.99,16.09
Trader Joes,338863686,,,,6.09
Walmart,338863686,6.73,,5.8,5.86
Safeway,338863686,,,6.39,6.39
Whole Foods,338863686,7.89,6.99,1.99,
Wegmans,338863686,,6.39,,6.19
Walmart,339400596,,13.63,13.12,
Trader Joes,339400596,,,13.79,
Whole Foods,339400596,,15.99,1.99,15.49
Wegmans,339400596,,14.59,14.09,14.19
Safeway,339400596,16.99,,14.49,14.59
Trader Joes,339765937,,,38.69,39.09
Wegmans,339765937,,41.09,39.49,39.89
Walmart,339765937,43.11,,,37.1
Whole Foods,339765937,,44.79,1.99,43.49
Safeway,339765937,47.69,,40.69,41.09
Wegmans,340260209,,43.19,,41.89
Safeway,340260209,,,42.69,43.19
Trader Joes,340260209,,,40.59,41.09
Walmart,340260209,45.22,40.17,,38.95
Whole Foods,340260209,53.09,47.09,1.99,
Walmart,340478827,,7.37,,7.15
Whole Foods,340478827,,8.59,1.99,
Trader Joes,340478827,,7.69,,7.49
Safeway,340478827,,,7.79,7.89
Wegmans,340478827,,7.89,,7.59
Safeway,342897052,57.49,,48.99,49.49
Trader Joes,342897052,,48.49,46.59,47.09
Walmart,342897052,,46.02,44.24,44.7
Wegmans,342897052,,49.49,47.59,48.09
Whole Foods,342897052,,53.99,1.99,
Wegmans,346844734,,47.29,,45.99
Walmart,346844734,,44.06,42.3,
Safeway,346844734,,,46.89,47.29
Whole Foods,346844734,58.19,,1.99,50.09
Safeway,349132748,,,,31.39
Whole Foods,349132748,,34.29,1.99,33.29
Walmart,349132748,,29.26,,
Wegmans,349132748,,31.39,30.19,30.49
Trader Joes,349132748,,,29.59,
Safeway,350639776,64.69,,55.09,55.69
Whole Foods,350639776,,,1.99,
Trader Joes,350639776,61.49,54.59,,52.99
Wegmans,350639776,,55.69,,54.09
Walmart,350639776,58.31,51.87,,50.25
Wegmans,352180692,,26.89,,26.09
Trader Joes,352180692,,26.29,,
Walmart,352180692,,25.02,24.04,
Whole Foods,352180692,32.99,29.29,1.99,
Safeway,352180692,,,,26.89
Wegmans,352259734,,19.89,,19.29
Safeway,352259734,,,19.69,19.89
Walmart,352259734,,18.52,17.81,
Whole Foods,352259734,24.49,21.69,1.99,
Walmart,353556196,3.66,3.22,,3.15
Wegmans,353556196,,3.49,,3.39
Whole Foods,353556196,,3.79,1.99,
Safeway,353556196,,,3.39,3.49
Trader Joes,353556196,,3.39,3.29,3.29
Wegmans,353626798,,,56.39,56.99
Walmart,353626798,61.55,54.61,,
Trader Joes,353626798,,,,55.89
Whole Foods,353626798,72.19,64.09,1.99,62.19
Safeway,353626798,68.19,,58.19,58.69
Trader Joes,354630366,,,,28.29
Walmart,354630366,31.26,27.75,,26.92
Whole Foods,354630366,,,1.99,
Wegmans,354630366,,29.79,28.59,28.89
Safeway,354630366,,,29.49,29.79
Trader Joes,354716417,,,35.29,35.69
Wegmans,354716417,,37.49,36.09,36.39
Safeway,354716417,,,37.09,37.49
Whole Foods,354716417,,40.89,1.99,
Walmart,354716417,39.37,,,33.9
Safeway,355520088,,,1.89,1.89
Wegmans,355520088,,1.89,,1.79
Whole Foods,355520088,2.29,1.99,1.99,1.99
Walmart,355520088,,,1.76,
Trader Joes,355520088,2.09,1.79,,1.79
Whole Foods,357064541,69.39,,1.99,59.79
Walmart,357064541,59.22,52.52,,50.94
Trader Joes,357064541,62.39,,,53.69
Safeway,357064541,,,55.89,
Wegmans,357064541,,56.49,54.29,54.79
Trader Joes,358265858,,,10.49,10.59
Whole Foods,358265858,13.69,12.19,1.99,11.79
Wegmans,358265858,,11.09,,10.79
Walmart,358265858,,10.43,10.04,10.15
Safeway,358265858,,,10.99,
Trader Joes,360754991,27.29,,,23.49
Walmart,360754991,25.92,23.06,,22.36
Safeway,360754991,28.69,,24.49,24.69
Whole Foods,360754991,,26.99,1.99,26.19
Wegmans,360754991,,24.69,23.79,
Trader Joes,361415663,29.59,,,25.49
Walmart,361415663,,25.04,24.02,24.26
Safeway,361415663,,,26.59,26.79
Wegmans,361415663,,26.79,25.79,26.09
Whole Foods,361415663,,,1.99,28.39
Safeway,361609713,,,28.99,29.29
Walmart,361609713,30.72,27.26,,
Trader Joes,361609713,,28.69,,27.79
Wegmans,361609713,,29.29,,28.39
Whole Foods,361609713,35.99,31.89,,30.99
Safeway,361981249,24.19,,20.59,20.79
Wegmans,361981249,,20.79,19.99,20.19
Trader Joes,361981249,,20.39,,19.79
Whole Foods,361981249,25.59,,1.99,
Walmart,361981249,21.87,19.42,18.64,
Walmart,363196884,,5.02,4.85,4.93
Trader Joes,363196884,5.89,,,5.09
Whole Foods,363196884,6.59,,1.99,
Wegmans,363196884,,5.39,,5.19
Safeway,363196884,6.19,,5.29,5.39
Wegmans,363461563,,48.09,,46.69
Walmart,363461563,50.47,44.75,43.03,43.47
Trader Joes,363461563,,47.09,,45.69
Whole Foods,363461563,59.09,52.49,1.99,
Safeway,363461563,,,47.59,48.09
Wegmans,363663062,,17.79,17.09,17.29
Whole Foods,363663062,,19.39,1.99,
Walmart,363663062,,16.64,15.94,
Trader Joes,363663062,,,,16.99
Safeway,363663062,,,,17.79
Walmart,364526351,31.34,,,
Trader Joes,364526351,32.99,,,28.39
Whole Foods,364526351,,32.59,1.99,31.59
Wegmans,364526351,,,28.69,28.99
Whole Foods,365185443,,44.49,1.99,43.19
Trader Joes,365185443,,,,38.79
Walmart,365185443,,38.02,36.5,
Wegmans,365185443,,40.79,,39.59
Safeway,365185443,,,40.39,
Wegmans,365630841,,,23.69,23.99
Walmart,365630841,25.96,23.06,,22.32
Safeway,365630841,28.69,,24.49,24.69
Whole Foods,365630841,,,1.99,
Trader Joes,365630841,,,,23.49
Whole Foods,367626432,,58.09,1.99,56.39
Wegmans,367626432,,53.19,,51.69
Trader Joes,367626432,,,,50.59
Walmart,367626432,,49.51,47.54,48.06
Safeway,367626432,,,52.69,53.19
Safeway,371212986,,,2.89,2.99
Whole Foods,371212986,3.59,3.19,1.99,
Trader Joes,371212986,,,2.79,2.79
Walmart,371212986,3.14,2.81,,2.72
Wegmans,371212986,,2.99,,2.89
Walmart,371889838,8.83,7.86,7.5,
Safeway,371889838,9.69,,8.29,
Whole Foods,371889838,,9.09,1.99,8.89
Trader Joes,371889838,,8.19,,7.99
Wegmans,371889838,,8.39,7.99,8.09
Safeway,372268051,,,1.19,1.19
Trader Joes,372268051,1.29,,,1.19
Whole Foods,372268051,1.49,1.29,,
Walmart,372268051,1.34,1.27,1.17,1.15
Wegmans,372268051,,1.19,,1.19
Trader Joes,373413450,,,10.99,11.09
Safeway,373413450,,,11.59,11.69
Wegmans,373413450,,11.69,11.19,11.29
Whole Foods,373413450,,12.69,1.99,12.39
Walmart,373413450,,10.94,,10.5
Walmart,373656227,,31.72,,30.83
Trader Joes,373656227,37.69,,,32.39
Safeway,373656227,39.59,,33.79,34.09
Whole Foods,373656227,41.89,37.19,1.99,36.09
Wegmans,373656227,,34.09,32.79,33.09
Wegmans,373709792,,14.39,,13.99
Trader Joes,373709792,,,13.59,13.69
Walmart,373709792,15.12,13.42,12.91,13.05
Safeway,373709792,,,14.29,14.39
Whole Foods,373709792,,15.69,1.99,15.29
Wegmans,374144563,,24.69,,23.99
Safeway,374144563,28.69,,24.49,
Walmart,374144563,,,,22.35
Whole Foods,374144563,,26.89,1.99,26.09
Whole Foods,374824958,,54.09,1.99,
Wegmans,374824958,,49.59,,48.19
Trader Joes,374824958,,48.59,,47.19
Safeway,374824958,,,49.09,49.59
Walmart,374824958,,46.15,,
Whole Foods,375780233,2.39,2.09,1.99,
Wegmans,375780233,,1.99,1.89,1.89
Safeway,375780233,2.29,,1.99,1.99
Walmart,375780233,2.12,1.81,1.86,
Trader Joes,375780233,,1.89,1.89,1.89
Wegmans,375916960,,30.59,29.39,29.69
Trader Joes,375916960,33.69,,28.79,29.09
Walmart,375916960,32.01,28.45,27.33,27.66
Whole Foods,375916960,37.59,,1.99,32.29
Safeway,375916960,,,30.19,
Trader Joes,375993782,,,,12.99
Walmart,375993782,,12.74,12.25,12.44
Safeway,375993782,,,13.49,13.69
Wegmans,375993782,,13.69,13.09,13.29
Whole Foods,375993782,16.79,,1.99,14.49
Trader Joes,376153383,27.79,,23.69,23.89
Whole Foods,376153383,30.89,27.39,1.99,26.59
Wegmans,376153383,,25.19,16.99,24.39
Safeway,376153383,,,24.89,25.19
Walmart,376153383,26.42,23.45,22.57,22.77
Wegmans,376311065,,3.49,,3.39
Walmart,376311065,3.73,3.31,3.26,3.25
Safeway,376311065,,,3.49,3.49
Whole Foods,376311065,4.29,3.89,1.99,3.69
Trader Joes,376311065,,,,3.39
Wegmans,376851918,,36.79,,35.69
Walmart,376851918,38.53,34.2,,33.24
Trader Joes,376851918,,35.99,,34.99
Whole Foods,376851918,,40.09,1.99,38.89
Safeway,376851918,,,36.39,36.79
Walmart,377295085,,2.4,,
Trader Joes,377295085,,2.49,2.39,2.39
Whole Foods,377295085,,2.69,,
Wegmans,377295085,,2.49,2.39,2.49
Safeway,377295085,,,2.49,
Walmart,377365657,61.95,54.95,,53.37
Whole Foods,377365657,,,1.99,62.49
Trader Joes,377365657,,57.89,,
Wegmans,377365657,,,,57.29
Safeway,377365657,,,,59.09
Whole Foods,381867389,,8.39,1.99,
Safeway,381867389,,,7.59,7.69
Walmart,381867389,,7.25,6.97,
Wegmans,381867389,,7.69,,7.49
Safeway,383193164,45.19,,38.59,38.89
Trader Joes,383193164,42.99,38.19,,36.99
Walmart,383193164,40.81,36.23,,35.16
Whole Foods,383193164,,42.49,1.99,
Wegmans,383193164,,38.89,,
Wegmans,383194572,,5.09,4.89,4.99
Safeway,383194572,5.89,,5.09,
Walmart,383194572,5.3,4.8,4.62,4.64
Trader Joes,383194572,5.59,4.99,,4.89
Whole Foods,383194572,6.29,5.59,1.99,
Walmart,383815591,60.84,53.92,51.85,
Trader Joes,383815591,64.09,56.79,54.59,55.19
Safeway,383815591,67.29,,57.39,57.99
Whole Foods,383815591,,63.29,1.99,
Wegmans,383815591,,57.99,,56.29
Trader Joes,386428225,,,15.89,16.09
Safeway,386428225,,,16.69,16.89
Walmart,386428225,,15.72,15.16,
Whole Foods,386428225,20.79,18.39,1.99,17.89
Wegmans,386428225,,,16.29,16.39
Safeway,387431034,,,,38.09
Whole Foods,387431034,46.79,41.49,1.99,40.29
Wegmans,387431034,,38.09,36.59,36.89
Trader Joes,387431034,41.99,37.29,35.79,36.19
Walmart,387431034,39.95,35.42,,
Walmart,387815880,13.77,12.11,,11.83
Safeway,387815880,15.09,,,12.99
Wegmans,387815880,,12.99,12.49,12.69
Whole Foods,387815880,,14.19,1.99,13.79
Trader Joes,387815880,,,,12.39
Walmart,388197861,26.91,23.94,23.0,
Trader Joes,388197861,28.39,,,24.49
Wegmans,388197861,,,,24.99
Safeway,388197861,29.79,,25.39,25.69
Whole Foods,388197861,31.59,27.99,1.99,27.19
Walmart,388544851,52.15,46.32,,44.94
Trader Joes,388544851,54.99,,,47.29
Safeway,388544851,57.79,,49.29,49.79
Whole Foods,388544851,,54.29,1.99,
Wegmans,388544851,,49.79,,48.29
Wegmans,391122766,,48.49,,46.99
Safeway,391122766,,,47.99,
Walmart,391122766,50.84,45.07,43.31,43.73
Whole Foods,391122766,,52.89,1.99,51.29
Whole Foods,392781848,,40.29,1.99,39.09
Wegmans,392781848,,36.99,35.49,35.89
Walmart,392781848,38.76,34.45,33.07,
Trader Joes,392781848,40.79,36.19,,35.19
Safeway,392781848,,,36.59,36.99
Walmart,393028851,50.55,44.82,,43.55
Whole Foods,393028851,,52.49,1.99,50.99
Safeway,393028851,,,47.69,48.19
Trader Joes,393028851,53.19,,,45.79
Wegmans,393028851,,48.19,,
Whole Foods,394331468,59.29,52.59,1.99,50.99
Walmart,394331468,,44.87,,
Trader Joes,394331468,53.19,,45.39,45.79
Safeway,394331468,55.99,,47.69,
Wegmans,394331468,,48.19,,46.79
Walmart,395515572,22.16,19.67,,
Whole Foods,395515572,,22.99,1.99,
Wegmans,395515572,,21.09,,
Safeway,395515572,24.49,,20.89,21.09
Trader Joes,395515572,,20.69,19.89,20.09
Wegmans,395790602,,47.49,45.59,46.09
Trader Joes,395790602,52.39,,44.69,45.19
Walmart,395790602,49.75,44.14,42.4,42.87
Whole Foods,395790602,58.39,51.79,1.99,50.29
Safeway,395790602,55.09,,46.99,47.49
Walmart,396134202,39.06,34.63,33.27,
Safeway,396134202,,,36.79,
Whole Foods,396134202,45.79,,1.99,
Wegmans,396134202,,37.19,,36.09
Trader Joes,396134202,,36.49,,35.39
Whole Foods,397250295,33.99,30.19,1.99,
Safeway,397250295,,,27.39,27.69
Walmart,397250295,,25.77,,25.02
Trader Joes,397250295,,,26.09,26.29
Wegmans,397250295,,27.69,,26.89
Safeway,399409590,27.89,,,23.99
Walmart,399409590,25.15,22.37,21.43,21.7
Wegmans,399409590,,23.99,,23.29
Trader Joes,399409590,26.49,,22.59,22.79
Whole Foods,399409590,29.49,,1.99,25.39
Safeway,400625108,,,26.99,27.19
Trader Joes,400625108,30.09,,,
Wegmans,400625108,,27.19,,26.39
Whole Foods,400625108,33.49,,1.99,
Walmart,400625108,28.51,25.3,24.34,
Safeway,401436440,,,26.69,26.99
Trader Joes,401436440,,26.39,,25.59
Whole Foods,401436440,33.09,29.39,1.99,
Walmart,401436440,,25.11,,
Wegmans,401436440,,26.99,25.89,26.19
Whole Foods,403149940,42.99,38.19,1.99,36.99
Safeway,403149940,,,34.59,34.99
Wegmans,403149940,,34.99,,33.99
Trader Joes,403149940,,,32.89,
Walmart,403149940,,,31.31,31.66
Trader Joes,405684153,,51.09,49.09,49.59
Wegmans,405684153,,52.19,,
Safeway,405684153,,,51.59,52.19
Whole Foods,405684153,64.09,56.89,1.99,
Walmart,405684153,,48.52,46.65,47.16
Safeway,405988807,46.29,,39.39,
Wegmans,405988807,,39.79,,38.69
Trader Joes,405988807,,,,37.89
Whole Foods,405988807,48.99,43.49,1.99,
Walmart,405988807,,37.06,,35.96
Wegmans,406039511,,50.59,48.59,49.09
Whole Foods,406039511,62.19,55.19,1.99,53.59
Trader Joes,406039511,,,47.69,48.19
Safeway,406039511,,,50.09,50.59
Walmart,406039511,,47.16,45.24,45.72
Walmart,414105716,42.93,38.01,36.67,36.97
Safeway,414105716,47.49,,40.49,40.89
Wegmans,414105716,,40.89,39.29,39.69
Trader Joes,414105716,,,38.49,38.89
Whole Foods,414105716,,44.59,1.99,
Walmart,416414679,30.54,27.01,,26.24
Safeway,416414679,,,28.79,29.09
Wegmans,416414679,,29.09,,28.19
Trader Joes,416414679,32.09,28.49,27.39,27.69
Whole Foods,416414679,35.69,,1.99,30.79
Safeway,416642778,,,39.39,39.79
Wegmans,416642778,,39.79,38.19,38.59
Trader Joes,416642778,,,37.49,37.79
Whole Foods,416642778,,,1.99,
Walmart,416642778,,,,35.9
Whole Foods,416724552,8.09,7.19,1.99,
Wegmans,416724552,,,,6.39
Safeway,416724552,,,6.49,6.59
